StateCode,State,County,Year,Month,NO2 Mean,O3 Mean,SO2,CO
AZ,Arizona,Pima,2003,6,12.5695927,0.033506967,1.088948867,0.356604883
AZ,Arizona,Pima,2003,7,12.25682668,0.039621032,0.881426177,0.337970403
AZ,Arizona,Pima,2003,8,15.33849184,0.027607065,1.08423371,0.303029871
AZ,Arizona,Pima,2003,9,18.17494827,0.020497233,1.242747567,0.339133417
AZ,Arizona,Pima,2003,10,18.89825855,0.02324871,1.625629048,0.461562048
AZ,Arizona,Pima,2003,11,21.86422773,0.0170222,1.669558967,0.569453583
AZ,Arizona,Pima,2003,12,22.28050494,0.016818548,1.72902429,0.750098355
AZ,Arizona,Pima,2004,1,21.11583045,0.015736484,1.514461645,0.546196774
AZ,Arizona,Pima,2004,2,22.79632338,0.020829034,1.293971328,0.527523724
AZ,Arizona,Pima,2004,3,16.57270284,0.028271452,1.096967694,0.4218385
AZ,Arizona,Pima,2004,4,13.25098277,0.037587533,1.1783773,0.348411833
AZ,Arizona,Pima,2004,5,12.91027032,0.035392516,1.155792258,0.316807145
AZ,Arizona,Pima,2004,6,11.095471,0.032341133,0.841781367,0.301341917
AZ,Arizona,Pima,2004,7,10.46844316,0.035678871,0.583207532,0.28507771
AZ,Arizona,Pima,2004,8,10.77093161,0.033029613,0.851909661,0.276323613
AZ,Arizona,Pima,2004,9,12.8544851,0.030618133,0.934444983,0.305425767
AZ,Arizona,Pima,2004,10,15.12512297,0.016044387,1.570178242,0.368917855
AZ,Arizona,Pima,2004,11,17.79336293,0.013222233,1.333794317,0.44151265
AZ,Arizona,Pima,2004,12,19.32398313,0.01060171,1.439061194,0.569886097
AZ,Arizona,Pima,2005,1,18.02232348,0.010628968,1.154103597,0.50870579
AZ,Arizona,Pima,2005,2,15.44934593,0.013827357,0.335824679,0.431227339
AZ,Arizona,Pima,2005,3,14.74619081,0.023403194,0.332149935,0.376458032
AZ,Arizona,Pima,2005,4,13.28932143,0.033946067,0.238211283,0.330684583
AZ,Arizona,Pima,2005,5,13.82503503,0.03703771,0.721537758,0.306720403
AZ,Arizona,Pima,2005,6,11.57179403,0.033926333,0.801820067,0.28288045
AZ,Arizona,Pima,2005,7,12.14960184,0.034369581,0.767758081,0.299295806
AZ,Arizona,Pima,2005,8,11.0590229,0.032236548,0.911790306,0.248264323
AZ,Arizona,Pima,2005,9,12.85079053,0.028825,0.6591334,0.292608633
AZ,Arizona,Pima,2005,10,13.34353655,0.024770161,0.436161484,0.306323065
AZ,Arizona,Pima,2005,11,18.1069554,0.0187389,0.875911883,0.459221017
AZ,Arizona,Pima,2005,12,24.05615935,0.012196161,1.10120121,0.642473129
AZ,Arizona,Pima,2006,1,21.76004081,0.017755355,0.969846581,0.527038468
AZ,Arizona,Pima,2006,2,20.58373329,0.0214925,0.866390804,0.441220196
